Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	
Administrative Judicial Region	Sixth Administrative Judicial Region			Stephen	B.	Ables		Presiding Judge	700 Main St	Kerrville	78028	(830)792-2290	
Court of Criminal Appeals	Court of Criminal Appeals			Jennifer		Acevedo		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1595	
Child Support (Title IV-D)	Title IV-D Court No. 4			Maurice		Aguilar		Associate Judge	600 Commerce, Rm 350	Dallas	75202-4616	(214)653-7438	
Child Protection	Centex Child Protection Court No. 1			Teresa		Alexander		Court Reporter	104 S Main	Belton	76513	(254)933-5386	
Child Protection	Centex Child Protection Court No. 2			Teresa		Alexander		Court Reporter	104 S Main	Belton	76513	(254)933-6726	
Court of Appeals	4th Court of Appeals			Patricia	O.	Alvarez		Justice	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Child Protection	Northeast Texas Child Protection Court No. 1			Lisa		Andrews		Associate Judge	108 S Sycamore, Rm 300	Carthage	75633	(903)850-0008	
Child Protection	Child Protection Court of the Concho Valley			Mandy		Archer		Court Coordinator	112 W Beauregard, Rm 311	San Angelo	76903	(325)659-6577	
Child Support (Title IV-D)	Title IV-D Court No. 17			Phillip		Arrien		Associate Judge	420 N 6th St	Waco	76701	(254)714-1307	
				sd		as							
Child Support (Title IV-D)	Title IV-D Court No. 40			Rushing		Asia		Court Coordinator	904 Broadway	Lubbock	79408		
Court of Appeals	6th Court of Appeals			Debbie		Autrey		Clerk	100 N State Line Ave, No 20	Texarkana	75501-5666	(903)798-3046	 debbie.autrey@txcourts.gov
				Ashley		Avila							
Child Support (Title IV-D)	Title IV-D Court No. 24			Elisa		Avila		Court Coordinator	901 Leopard St, Ste 404	Corpus Christi	78401	(361)888-0292	
Child Support (Title IV-D)	Title IV-D Court No. 30			Juan	Carlos	Ayala		Court Coordinator	500 E San Antonio, Ste 603	El Paso	79901	(915)546-2010	
Child Support (Title IV-D)	Title IV-D Court No. 16			Dawn		Baardsen		Associate Judge	405 MLK St, Rm 217 (Box 12)	Georgetown	78626	(512)943-1295	
Court of Appeals	11th Court of Appeals			John	M.	Bailey		Chief Justice	P O Box 271	Eastland	76448-0271	(254)629-2638	 marla.hanks@txcourts.gov
Court of Appeals	3rd Court of Appeals			Thomas	J.	Baker		Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Child Protection	High Plains Child Protection Court			Carry		Baker		Associate Judge	501 S Fillmore, Ste 2B	Amarillo	79101	(806)379-2228	
Child Support (Title IV-D)	Title IV-D Court No. 8			Jennifer		Baker		Associate Judge	301 N Thompson, Ste 102	Conroe	77301	(936)538-8047	
Child Protection	8th Region South Child Protection Court			David		Barkley		Associate Judge	204 S Buffalo, Ste 105	Cleburne	76033	(817)202-4003 - ext. 1060      	
Court of Appeals	2nd Court of Appeals			Dabney	D.	Bassel		Justice	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
Child Protection	Dallas County Child Protection & Permanency Court			Jeffrey		Bell		Court Coordinator	600 Commerce St, 4th Fl, Auxiliary Court 4A	Dallas	75202	(214)653-7430	
Court of Appeals	13th Court of Appeals (Edinburg)			Gina	M.	Benavides		Justice	100 East Cano, 5th Fl.	Edinburg	78539	(956)318-2405	
Child Support (Title IV-D)	Title IV-D Court No. 41			Jami		Bevins		Court Coordinator	500 S Fillmore, Ste 601	Amarillo	79101	(806)379-2820	
Court of Appeals	2nd Court of Appeals			J.	Wade	Birdwell		Justice	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
Supreme Court	Supreme Court			James (Jimmy)	D.	Blacklock		Justice	P O Box 12248	Austin	78711-2248	(512)463-1344	
Supreme Court	Supreme Court			Jane	Nenninger	Bland		Justice	P O Box 12248	Austin	78711-2248	(512)463-3494	
Court of Criminal Appeals	Court of Criminal Appeals			Nancy		Blish		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1585	
Administrative Judicial Region	Fourth Administrative Judicial Region			Leslie	M.	Bochniak		Assistant	100 Dolorosa, Rm 4.08	San Antonio	78205	(210)335-3954	 lmbochniak@aol.com
Court of Appeals	14th Court of Appeals			Frances	Y.	Bourliot		Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
Supreme Court	Supreme Court			Jeffrey	S.	Boyd		Justice	P O Box 12248	Austin	78711-2248	(512)463-1332	
Court of Appeals	10th Court of Appeals			Rick		Bradley		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Supreme Court	Supreme Court			Robert		Brailas		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1344	
Court of Appeals	5th Court of Appeals			Maricela		Breedlove		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Administrative Judicial Region	Eleventh Administrative Judicial Region			Rebecca		Brite		Assistant	301 Fannin St	Houston	77002	(832)927-6600	
Child Support (Title IV-D)	Title IV-D Court No. 33			Margie		Brooks		Court Coordinator	300 N Grant	Odessa	79761	(432)425-6621	
County				Jennifer		Broughton		Attorney	200 S Broadway, Rm 323	Brownwood	76801	(325)646-7431	
Administrative Judicial Region	Eleventh Administrative Judicial Region			Susan		Brown		Presiding Judge	301 Fannin St	Houston	77002	(832)927-6600	
Supreme Court	Supreme Court			Julie		Buchanan		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1316	
Supreme Court	Supreme Court			Julie		Buchanan		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1340	
Court of Appeals	5th Court of Appeals			Robert	Daniel	Burns	III	Chief Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
				Patricia	J.	Burroughs		Visiting Judge (local)	10840 Ponderosa Timbers Dr.	Conroe	77385	(713)724-8929	
Child Support (Title IV-D)	Title IV-D Court No. 22			Leigh		Burton		Court Coordinator	P O Box 711	Port Lavaca	77979	(361)655-6352	
				Gladys	B.	Burwell	(Probate)	Retired Probate	1715 Round Rock St	Friendswood	77546		
Supreme Court	Supreme Court			J.	Brett	Busby		Justice	P O Box 12248	Austin	78711-2248	(512)462-1336	
Court of Appeals	3rd Court of Appeals			Darlene		Byrne		Chief Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Child Protection	High Plains Child Protection Court			Rachel		Cady		Court Coordinator	501 S Fillmore, Ste 2B	Amarillo	79101	(806)379-2228	
				Cass	Robert	Callaway							
				Cass	Robert	Callaway							
Child Support (Title IV-D)	Title IV-D Court No. 6			E. LaVern		Campbell		Associate Judge	101 E Methvin, Rm 203	Longview	75601	(903)237-2562	
Supreme Court	Supreme Court			Kelly		Canavan		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1332	
Child Protection	Child Protection Court of Rio Grande Valley East			Elsa		Cantu		Court Coordinator	974 E Harrison St, Ste 101	Brownsville	78520	(956)574-8730	
Child Support (Title IV-D)	Title IV-D Court No. 25			Maria	Ester	Cantu		Court Coordinator	100 N Closner	Edinburg	78539	(956)318-2452	
Court of Appeals	5th Court of Appeals			Cory		Carlyle		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 23			Priscilla		Carrasco		Court Coordinator	100 Dolorosa, Rm 411	San Antonio	78205	(210)335-3915	
Supreme Court	Supreme Court			Cindy		Carrillo		Executive Assistant	P O Box 12248	Austin	78711-2248	(512)463-1344	
Child Support (Title IV-D)	Title IV-D Court No. 20			Nick		Catoe		Associate Judge	100 Dolorosa, Rm 1.20	San Antonio	78205	(210)335-2706	
Child Support (Title IV-D)	Title IV-D Court No. 9			Karen		Chalfant		Court Coordinator	1422 Eugene Heimann Cir, Rm 20726	Richmond	77469	(281)344-3932	
Court of Appeals	4th Court of Appeals			Luz Elena	D.	Chapa		Justice	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Administrative Judicial Region	Tenth Administrative Judicial Region			Frederick	Alfonso	Charles		Presiding Judge	101 E Methvin St, Ste 447	Longview	75601	(903)236-1748	 terri.shepherd@co.gregg.tx.us
Child Support (Title IV-D)	Title IV-D Court No. 10			Lakesha	G.	Chatmon		Court Coordinator	1115 Congress, 2nd Fl	Houston	77002	(832)927-6886	
Court of Appeals	1st Court of Appeals			David		Chino		Chief Deputy Clerk	301 Fannin St	Houston	77002-2066	(713)274-2770	
Court of Criminal Appeals	Court of Criminal Appeals			Paul		Cho		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1565	
Supreme Court	Supreme Court			Michael		Choyke		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1328	
Court of Appeals	14th Court of Appeals		Ms.	Tracy		Christopher		Chief Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
Court of Criminal Appeals	Court of Criminal Appeals			Donald		Cimics		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1590	
Child Support (Title IV-D)	Title IV-D Court No. 28			Melynda	I.	Collins		Court Coordinator	100 Main St	Uvalde	78801	(830)278-8167	
